head,relation,tail
András Gáspár,Citations,"2016, The Astrophysical Journal, 823, 108B"
Citations,done in,2016
András Gáspár,as,2016
Citations,with,2016
Citations,with, The Astrophysical Journal
Citations,with, 823
Citations,with, 108B
András Gáspár,Citations,"14. Discovery of an Inner Disk Component around HD 141569 A,"
Citations,done in,14. Discovery of an Inner Disk Component around HD 141569
András Gáspár,as,14. Discovery of an Inner Disk Component around HD 141569 A
Citations,with,14. Discovery of an Inner Disk Component around HD 141569 A
András Gáspár,Citations,"Konishi, Mihoko; Grady, Carol A.; Schneider, Glenn; Shibai, Hiroshi; McElwain, Michael W.;"
András Gáspár,Citations,"Nesvold, Erika R.; Kuchner, Marc J.; Carson, Joseph; Debes, John. H.; Gáspár, András;"
András Gáspár,Citations,"Henning, Thomas K.; Hines, Dean C.; Hinz, Philip M.; Jang-Condell, Hannah; Moro-Martín,"
András Gáspár,Citations,"Amaya; Perrin, Marshall; Rodigas, Timothy J.; Serabyn, Eugene; Silverstone, Murray D.; Stark,"
András Gáspár,Citations,"Christopher C.; Tamura, Motohide; Weinberger, Alycia J.; Wisniewski, John. P."
András Gáspár,Citations,"2016, The Astrophysical Journal, 818L, 23K"
Citations,done in,2016
András Gáspár,as,2016
Citations,with,2016
Citations,with, The Astrophysical Journal
Citations,with, 818L
Citations,with, 23K
András Gáspár,Citations,"15. Magnetic Grain Trapping and the Hot Excesses around Early-type Stars,"
András Gáspár,Citations,"Rieke, G. H.; Gáspár, András; Ballering, N. P."
András Gáspár,Citations,"2016, The Astrophysical Journal, 816, 50R"
Citations,done in,2016
András Gáspár,as,2016
Citations,with,2016
Citations,with, The Astrophysical Journal
Citations,with, 816
Citations,with, 50R
András Gáspár,Citations,5
András Gáspár,Citations,16. First-light LBT Nulling Interferometric Observations: Warm Exozodiacal Dust Resolved within
András Gáspár,Citations,"a Few AU of η Crv,"
András Gáspár,Citations,"Defrère, D.; Hinz, P. M.; Skemer, A. J.; Kennedy, G. M.; Bailey, V. P.; Hoffmann, W. F.;"
András Gáspár,Citations,"Mennesson, B.; Millan-Gabet, R.; Danchi, W. C.; Absil, O.; Arbo, P.; Beichman, C.; Brusa,"
András Gáspár,Citations,"G.; Bryden, G.; Downey, E. C.; Durney, O.; Esposito, S.; Gáspár, A.; Grenz, P.; Haniff, C.;"
András Gáspár,Citations,"Hill, J. M.; Lebreton, J.; Leisenring, J. M.; Males, J. R.; Marion, L.; McMahon, T. J.; Montoya,"
András Gáspár,Citations,"M.; Morzinski, K. M.; Pinna, E.; Puglisi, A.; Rieke, G.; Roberge, A.; Serabyn, E.; Sosa, R.;"
András Gáspár,Citations,"Stapeldfeldt, K.; Su, K.; Vaitheeswaran, V.; Vaz, A.; Weinberger, A. J.; Wyatt, M. C."
András Gáspár,Citations,"2015, The Astrophysical Journal, 799, 42D"
Citations,done in,2015
András Gáspár,as,2015
Citations,with,2015
Citations,with, The Astrophysical Journal
Citations,with, 799
Citations,with, 42D
András Gáspár,Citations,17. Probing the Terrestrial Regions of Planetary Systems: Warm Debris Disks with Emission Fea-
András Gáspár,Citations,"tures,"
András Gáspár,Citations,"Ballering, Nicholas P.; Rieke, George H.; Gáspár, András"
András Gáspár,Citations,"2014, The Astrophysical Journal, 793, 57B"
Citations,done in,2014
András Gáspár,as,2014
Citations,with,2014
Citations,with, The Astrophysical Journal
Citations,with, 793
Citations,with, 57B
András Gáspár,Citations,"18. The Decay of Debris Disks around Solar-type Stars,"
András Gáspár,Citations,"Sierchio, J. M.; Rieke, G. H.; Su, K. Y. L.; Gáspár, András"
András Gáspár,Citations,"2014, The Astrophysical Journal, 785, 33S"
Citations,done in,2014
András Gáspár,as,2014
Citations,with,2014
Citations,with, The Astrophysical Journal
Citations,with, 785
Citations,with, 33S
András Gáspár,Citations,"19. Dust formation in the ejecta of the type II-P supernova 2004dj,"
Citations,done in,19. Dust formation in the ejecta of the type II-P supernova 2004
András Gáspár,as,19. Dust formation in the ejecta of the type II-P supernova 2004dj
Citations,with,19. Dust formation in the ejecta of the type II-P supernova 2004dj
András Gáspár,Citations,"Szalai, Tamás, Vinkó, József, Balog, Zoltán, Gáspár, András, Block, Miwa, and Kiss, László"
András Gáspár,Citations,L.
András Gáspár,Citations,"2011, Astronomy & Astrophysics, 527A, 61S"
Citations,done in,2011
András Gáspár,as,2011
Citations,with,2011
Citations,with, Astronomy & Astrophysics
Citations,with, 527A
Citations,with, 61S
András Gáspár,Citations,"20. HST and Spitzer Observations of the HD 207129 Debris Ring,"
Citations,done in,20. HST and Spitzer Observations of the HD 2071
András Gáspár,as,20. HST and Spitzer Observations of the HD 207129 Debris Ring
Citations,with,20. HST and Spitzer Observations of the HD 207129 Debris Ring
András Gáspár,Citations,"Krist, John E., Stapelfeldt, Karl R., Bryden, Geoffrey, Rieke, George H., Su, Kate Y. L., Chen,"
András Gáspár,Citations,"Christine C., Beichman, Charles A., Hines, Dean C., Rebull, Luisa M., Tanner, Angelle, Trilling,"
András Gáspár,Citations,"David E., Clampin, Mark, and Gáspár, András"
András Gáspár,Citations,"2010, Astronomical Journal, 140, 1051K"
Citations,done in,"2010, Astronomical Journal, 140, 1051"
András Gáspár,as,2010
Citations,with,2010
Citations,with, Astronomical Journal
Citations,with, 140
Citations,with, 1051K
András Gáspár,Citations,"21. Spitzer/IRAC-MIPS Survey of NGC 2451 A and B: Debris Disks at 50-80 Million Years,"
Citations,done in,21. Spitzer/IRAC-MIPS Survey of NGC 2451
András Gáspár,as,21. Spitzer/IRAC-MIPS Survey of NGC 2451 A and B: Debris Disks at 50-80 Million Years
Citations,with,21. Spitzer/IRAC-MIPS Survey of NGC 2451 A and B: Debris Disks at 50-80 Million Years
András Gáspár,Citations,"Balog, Zoltán, Kiss, László L., Vinkó, József, Rieke, George H., Muzerolle, James, Gáspár,"
András Gáspár,Citations,"András, Young, Erick T., and Gorlova, Nadya"
András Gáspár,Citations,"2009, The Astrophysical Journal, 698, 1989B"
Citations,done in,"2009, The Astrophysical Journal, 698, 1989"
András Gáspár,as,2009
Citations,with,2009
Citations,with, The Astrophysical Journal
Citations,with, 698
Citations,with, 1989B
András Gáspár,Citations,22. Infrared Emission by Dust Around lambda Bootis Stars: Debris Disks or Thermally Emitting
András Gáspár,Citations,"Nebulae?,"
András Gáspár,Citations,"Martínez-Galarza, Juan R., Kamp, Inga, Su, Kate Y. L., Gáspár, András, Rieke, George H., and"
András Gáspár,Citations,"Mamajek, Erik E."
András Gáspár,Citations,"2009, The Astrophysical Journal, 694, 165M"
Citations,done in,2009
András Gáspár,as,2009
Citations,with,2009
Citations,with, The Astrophysical Journal
Citations,with, 694
Citations,with, 165M
András Gáspár,Citations,"23. The UKIDSS Galactic Plane Survey,"
András Gáspár,Citations,"Lucas, P. W., Hoare, M. G., Longmore, A., Schröder, A. C., Davis, C. J., Adamson, A., Bandy-"
András Gáspár,Citations,"opadhyay, R. M., de Grijs, R., Smith, M., Gosling, A., Mitchison, S.; Gáspár, A., Coe, M.,"
András Gáspár,Citations,6
András Gáspár,Citations,"Tamura, M., Parker, Q., Irwin, M., Hambly, N., Bryant, J., Collins, R. S., Cross, N., Evans,"
András Gáspár,Citations,"D. W., Gonzalez-Solares, E., Hodgkin, S., Lewis, J., Read, M., Riello, M., Sutorius, E. T. W.,"
András Gáspár,Citations,"Lawrence, A., Drew, J. E., Dye, S., and Thompson, M. A."
András Gáspár,Citations,"2008, The Monthly Notices of the Royal Astronomical Society, 391, 136L"
Citations,done in,2008
András Gáspár,as,2008
Citations,with,2008
Citations,with, The Monthly Notices of the Royal Astronomical Society
Citations,with, 391
Citations,with, 136L
András Gáspár,Citations,"24. Lynds 1622: a nearby star-forming cloud projected on Orion B?,"
Citations,done in,24. Lynds 1622
András Gáspár,as,24. Lynds 1622: a nearby star-forming cloud projected on Orion B?
Citations,with,24. Lynds 1622: a nearby star-forming cloud projected on Orion B?
András Gáspár,Citations,"Kun, M., Balog, Z., Mizuno, N., Kawamura, A., Gáspár, A., Kenyon, S. J., and Fukui, Y."
András Gáspár,Citations,"2008, The Monthly Notices of the Royal Astronomical Society, 391, 84K"
Citations,done in,2008
András Gáspár,as,2008
Citations,with,2008
Citations,with, The Monthly Notices of the Royal Astronomical Society
Citations,with, 391
Citations,with, 84K
András Gáspár,Citations,"25. Photoevaporation of Protoplanetary Disks,"
András Gáspár,Citations,"Balog, Zoltán, Rieke, George H., Muzerolle, James, Bally, John, Su, Kate Y. L., Misselt, Karl,"
András Gáspár,Citations,"and Gáspár, András"
András Gáspár,Citations,"2008, The Astrophysical Journal, 688, 408B"
Citations,done in,2008
András Gáspár,as,2008
Citations,with,2008
Citations,with, The Astrophysical Journal
Citations,with, 688
Citations,with, 408B
András Gáspár,Citations,"26. Low-mass star formation in Lynds 1333,"
Citations,done in,26. Low-mass star formation in Lynds 1333
András Gáspár,as,26. Low-mass star formation in Lynds 1333
Citations,with,26. Low-mass star formation in Lynds 1333
András Gáspár,Citations,"Kun, M., Nikolić, S., Johansson, L. E. B., Balog, Z., and Gáspár, A."
András Gáspár,Citations,"2006, The Monthly Notices of the Royal Astronomical Society, 371, 732K"
Citations,done in,2006
András Gáspár,as,2006
Citations,with,2006
Citations,with, The Monthly Notices of the Royal Astronomical Society
Citations,with, 371
Citations,with, 732K
András Gáspár,Citations,"27. The first year of SN 2004dj in NGC 2403,"
Citations,done in,27. The first year of SN 2004dj in NGC 2403
András Gáspár,as,27. The first year of SN 2004dj in NGC 2403
Citations,with,27. The first year of SN 2004dj in NGC 2403
András Gáspár,Citations,"Vinkó, J., Takáts, K., Sárneczky, K., Szabó, Gy. M., Mészáros, Sz., Csorvási, R., Szalai, T.,"
András Gáspár,Citations,"Gáspár, A., Pál, A., Csizmadia, Sz., Kóspál, A., Rácz, M., Kun, M., Csák, B., Fűrész, G.,"
András Gáspár,Citations,"DeBond, H., Grunhut, J., Thomson, J., Mochnacki, S., and Koktay, T."
András Gáspár,Citations,"2006, The Monthly Notices of the Royal Astronomical Society, 369, 1780V"
Citations,done in,"2006, The Monthly Notices of the Royal Astronomical Society, 369, 1780"
András Gáspár,as,2006
Citations,with,2006
Citations,with, The Monthly Notices of the Royal Astronomical Society
Citations,with, 369
Citations,with, 1780V
András Gáspár,Citations,28. A Near-Infrared (JHK) Survey of the Vicinity of the HII Region NGC 7538: Evidence for a Young
András Gáspár,Citations,"Embedded Cluster,"
András Gáspár,Citations,"Balog, Z., Kenyon, S. J., Lada, E. A., Barsony, M., Vinkó, J., and Gáspár, A."
András Gáspár,Citations,"2004, The Astronomical Journal, 128, 2942B"
Citations,done in,"2004, The Astronomical Journal, 128, 2942"
András Gáspár,as,2004
Citations,with,2004
Citations,with, The Astronomical Journal
Citations,with, 128
Citations,with, 2942B
